instance "si-noninduced-gss-20201208" "si-parity-gss-20201208" "si-moreoddthaneven-gss-20201208" "si-lessthreeodd-gss-20201208" "si-noninduced-minion-preprocess-gac-20201208" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201208" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201208" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201208" "si-moreoddthaneven-minion-preprocess-gac-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201208" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201208" "si-lessthreeodd-minion-preprocess-gac-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201208" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201208" "si-parity-minion-preprocess-gac-20201208" "si-parity-hybrid-preprocess-gac-comm-checker-20201208" "si-parity-hybrid-preprocess-gac-comm-propagate-20201208" "si-parity-hybrid-preprocess-gac-comm-rollback-20201208" "si-noninduced-pathlad-20201208" "si-noninduced-vf2-20201208" "si-noninduced-ri-20201208"
E.11 0.149985 0.115769 0.105782 0.114599 NaN 75.2649 76.4189 79.0882 NaN 76.7423 79.0222 76.4507 NaN 84.1701 78.8251 78.2623 NaN 78.0978 77.2988 78.9722 0.016708 3600.01 83.276
B.03 0.127505 0.0959347 0.0939909 0.152269 275.501 16.8898 16.6934 17.0366 285.828 17.6252 17.2844 18.3838 408.008 16.5733 16.7562 17.6361 24.106 19.2208 18.0215 18.7785 0.0337437 3600.01 0.0377635
B.18 0.100462 0.0705363 0.129211 0.125357 95.2396 15.9883 15.9095 15.8689 101.503 17.4661 16.9536 17.2 672.121 16.4477 15.7784 16.1497 20.1996 17.4566 17.9839 17.4685 0.0297434 3600.01 0.0355856
C.03 0.274975 0.187594 0.27192 0.243799 1474.86 35.2857 36.0753 36.7502 1884.41 38.0628 38.8414 38.0901 1910.87 36.5665 35.9525 36.9487 66.9274 44.4124 46.758 45.0837 0.0866419 3600.01 0.0434303
A.18 0.0185282 0.022952 0.0244834 0.0229396 6.8835 4.31181 4.59482 4.4081 17.7054 5.26235 4.94758 4.88953 16.5193 4.68955 5.08286 5.0109 5.04025 4.93907 4.71041 4.62229 0.0081322 2.13961 0.0277585
F.15 0.254435 0.243252 0.244896 0.245298 NaN 81.6625 81.1302 81.1927 NaN 86.9099 87.5564 80.8136 NaN 81.318 83.2977 84.69 NaN 77.4677 82.7197 79.2297 0.0374153 3600.01 0.0467625
A.19 0.0177974 0.0146466 0.0165164 0.0163815 6.97144 4.06991 4.02262 4.00438 24.569 4.25327 4.3431 4.57867 22.1314 4.20994 4.1518 4.17096 4.51259 4.29266 4.2729 4.32083 0.0169333 0.599478 0.026265
C.12 0.268257 0.237445 0.268975 0.238761 110.51 35.8629 35.4461 34.6939 2052.64 37.8057 37.972 38.1774 1935.79 35.8749 35.8442 35.9997 59.965 44.9452 45.1534 43.9395 0.0857492 3600.01 0.0719675
B.05 0.0997239 0.0713264 0.101066 0.0891689 132.908 15.9453 15.9202 15.5657 445.784 16.8344 17.4077 16.9968 445.797 16.3857 15.7107 16.4968 22.7017 17.6209 18.6699 18.034 0.04156 3600.01 0.0401005
A.13 0.0273779 0.0237196 0.0247981 0.0233454 7.71709 4.20104 4.4049 4.20492 8.97614 5.12404 4.88764 4.98478 9.14717 4.85793 4.61084 4.69709 4.81782 4.97027 4.56669 4.52801 0.00897853 7.45526 0.0278755
A.05 0.0178069 0.0144593 0.0156231 0.0239717 14.3972 4.11769 4.40631 4.15649 15.4379 4.86873 4.56389 4.46126 14.879 4.30442 4.23346 4.32016 4.78888 4.48221 4.49362 4.54814 0.00706318 8.37812 0.026835
F.01 0.246759 0.237283 0.276853 0.273801 NaN 78.0984 77.0125 78.4683 NaN 78.5877 80.9495 78.8024 NaN 79.3847 77.1693 75.6609 NaN 79.1504 78.2084 73.8891 0.0338719 3600.01 0.0444103
E.20 0.0817811 0.0810007 0.106679 0.0805347 NaN 91.4827 88.6973 87.4556 NaN 91.3205 92.8387 87.5275 NaN 88.6867 98.0636 86.7764 NaN 88.4688 87.9705 85.9631 0.0177161 3600.01 3600.03
B.13 0.0991668 0.0809159 0.115754 0.0890095 58.8426 15.5851 15.8582 15.7401 73.5167 17.3467 17.4159 16.4123 72.6609 16.2861 15.8377 16.0879 19.6766 18.6395 18.3341 17.7464 0.0432828 3600.01 0.0379155
A.14 0.0184978 0.0235428 0.0169288 0.0165839 10.2536 4.11441 4.13187 4.1857 17.8506 4.62811 4.6999 4.58685 16.4694 4.39476 4.37755 4.23836 4.9329 4.52985 4.62702 4.54793 0.00997767 3600.01 0.0275696
B.04 0.102812 0.0734545 0.102545 0.0913566 164.89 16.154 16.1448 16.482 576.637 17.21 16.8032 17.1198 536.937 17.1346 16.0698 16.4711 24.4963 18.338 18.3606 17.495 0.0300504 3600.01 0.0349271
C.13 0.338925 0.195055 0.285775 0.249061 673.355 36.3041 37.7573 37.3525 681.655 40.3243 39.8356 40.1761 1906.07 38.2839 37.0974 38.1903 63.82 44.1909 45.206 44.0675 0.257154 3600.01 0.0435051
F.07 0.284658 0.273204 0.316214 0.277704 NaN 83.0446 84.6741 82.3358 NaN 81.3372 82.3994 81.7126 NaN 78.3158 82.293 78.9917 NaN 81.9663 79.4167 82.5468 0.0353951 3600.01 0.07769
E.13 0.0819868 0.0827179 0.0826828 0.0817845 NaN 100.966 101.451 100.349 NaN 101.428 104.789 102.31 NaN 101.219 102.614 95.2391 NaN 104.912 102.356 101.272 0.0201211 3600.01 3600.03
E.14 0.299444 0.300466 0.299934 0.301779 NaN 77.9356 77.006 78.0148 NaN 80.355 77.913 83.2631 NaN 78.5899 77.7751 78.4761 NaN 80.885 79.7297 79.8498 0.0251392 3600.01 3600.03
A.11 0.0172624 0.0143832 0.0175894 0.0157316 4.69625 4.23471 4.11093 4.47078 8.79805 4.49651 4.7662 4.526 9.48013 4.44093 4.55871 4.58865 4.77029 4.51565 4.62831 4.67934 0.00570722 1.77985 0.0275511
si6_r005_m400.07 0.749571 0.663098 1.20488 1.397 NaN 62.9102 647.298 59.406 NaN 61.6928 NaN 81.4084 NaN 57.2241 NaN 77.5552 278.836 58.9713 97.9463 59.1995 6.21734 3600.01 0.46792
