instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si6_r001_m200.09 7 5 21 21 21 21
si6_r001_m200.07 7 6 13 13 13 13
si6_r001_m200.02 7 6 10 9 10 9
si6_r001_m200.01 7 4 24 23 24 24
si6_r001_m200.00 7 4 10 10 10 10
si6_r001_m200.04 7 4 17 17 17 17
si6_r001_m200.06 7 7 14 14 14 14
si6_r001_m200.08 7 8 22 22 22 22
si6_r001_m200.03 7 7 13 13 13 13
si4_b06_m400.06 3 27 3 3 3 3
si4_b06_m400.07 3 26 3 3 3 3
si4_b06_m400.09 3 26 3 3 3 3
si4_b06_m400.01 3 31 3 3 3 3
si4_b06_m400.04 3 26 3 3 3 3
si4_b06_m400.03 3 27 3 3 3 3
si4_b06_m400.00 3 26 3 3 3 3
si4_b06_m400.05 3 30 3 3 3 3
si4_b06_m400.08 3 26 3 3 3 3
si4_b06_m400.02 3 45 3 3 3 3
si2_m4Dr6_m256.06 6 4 35 19 35 19
si2_m4Dr6_m256.05 6 6 10 10 10 10
si2_m4Dr6_m256.09 6 3 8 8 8 8
si2_m4Dr6_m256.00 6 3 34 17 34 18
si2_m4Dr6_m256.07 6 5 9 9 9 9
si2_m4Dr6_m256.04 6 5 14 11 14 12
si2_m4Dr6_m256.02 6 4 28 24 28 22
si2_m4Dr6_m256.01 6 3 24 18 24 18
si2_m4Dr6_m256.08 6 7 155 39 155 53
si2_m4Dr6_m256.03 6 5 10 10 10 10
si6_r01_m200.04 7 124 43 8 43 8
si6_r01_m200.08 7 100 316 86 316 87
si6_r01_m200.02 7 178 4813 553 4813 552
si6_r01_m200.09 7 135 894 153 894 132
si6_r01_m200.07 7 155 806 143 806 141
si6_r01_m200.00 7 210 562 184 562 182
si6_r01_m200.01 7 96 221 47 221 48
si6_r01_m200.03 7 507 9385 1029 9385 1123
si6_r01_m200.05 7 169 467 59 467 58
si6_r01_m200.06 7 138 317 69 317 65
si2_b03m_m800.03 4 15 60 59 59 60
si2_b03m_m800.02 4 25 54 55 55 54
si2_b03m_m800.09 4 25 52 50 50 52
si2_b03m_m800.04 4 18 40 40 40 40
si2_b03m_m800.06 4 16 61 54 54 54
si2_b03m_m800.05 4 24 51 51 51 51
si2_b03m_m800.01 4 16 38 38 38 38
si2_b03m_m800.08 4 16 48 46 46 48
si2_b03m_m800.07 4 27 36 36 36 36
si2_b03m_m800.00 4 24 46 46 46 46
si2_r001_m200.06 7 2 34 27 34 30
si2_r001_m200.01 7 2 34 26 34 26
si2_r001_m200.02 7 3 61 31 61 37
si2_r001_m200.07 7 2 33 20 33 23
si2_r001_m200.04 7 2 83 38 83 41
si2_r001_m200.05 7 14 4112 93 4112 1402
si2_r001_m200.09 7 3 33 32 33 32
si2_r001_m200.03 7 2 27 26 27 27
si2_r001_m200.00 7 1 38 36 38 38
si2_r001_m200.08 7 3 98 51 98 69
si6_b03m_m800.01 4 52 35 35 35 35
si6_b03m_m800.08 4 52 21 21 21 21
si6_b03m_m800.03 4 52 26 26 26 26
si6_b03m_m800.00 4 51 29 29 29 29
si6_b03m_m800.04 4 53 44 44 44 44
si6_b03m_m800.05 4 53 33 33 33 33
si6_b03m_m800.07 4 50 32 32 32 32
si6_b03m_m800.06 4 79 47 47 47 47
si6_b03m_m800.09 4 79 35 35 35 35
si6_b03m_m800.02 4 78 33 33 33 33
si4_r005_m200.00 7 31 2307 383 2307 386
si4_r005_m200.08 7 17 86 19 86 24
si4_r005_m200.02 7 31 1067 251 1067 253
si4_r005_m200.05 7 26 76 34 76 39
si4_r005_m200.06 7 20 86 23 86 23
