instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
si2_b03m_m800.07 4 27 331 274 204 32
si2_b03m_m800.00 4 24 291 253 210 18
si2_r001_m200.06 7 2 4 16 3 3
si2_r001_m200.01 7 2 5 25 3 5
si2_r001_m200.02 7 3 5 22 2 9
si2_r001_m200.07 7 2 4 33 3 3
si2_r001_m200.04 7 2 4 25 2 4
si2_r001_m200.05 7 14 26 15 16 9
si2_r001_m200.09 7 3 4 15 2 8
si2_r001_m200.03 7 2 4 16 3 3
si2_r001_m200.00 7 1 4 23 2 9
si2_r001_m200.08 7 3 5 15 4 8
si6_b03m_m800.01 4 52 924 748 718 62
si6_b03m_m800.08 4 52 986 786 825 33
si6_b03m_m800.03 4 52 895 750 759 56
si6_b03m_m800.00 4 51 945 716 766 34
si6_b03m_m800.04 4 53 912 772 892 32
si6_b03m_m800.05 4 53 920 713 929 34
si6_b03m_m800.07 4 50 958 715 762 55
si6_b03m_m800.06 4 79 953 719 789 51
si6_b03m_m800.09 4 79 981 719 859 34
si6_b03m_m800.02 4 78 889 787 787 53
si4_r005_m200.00 7 31 85 112 54 21
si4_r005_m200.08 7 17 35 84 31 39
si4_r005_m200.02 7 31 43 131 55 33
si4_r005_m200.05 7 26 29 142 19 40
si4_r005_m200.06 7 20 27 110 19 22
si4_r005_m200.04 7 19 57 95 51 20
si4_r005_m200.07 7 37 31 86 23 20
si4_r005_m200.09 7 53 45 127 38 16
si4_r005_m200.01 7 19 34 119 18 20
si4_r005_m200.03 7 62 68 86 67 38
si6_b09m_m400.03 4 42 173 385 182 26
si6_b09m_m400.07 4 24 167 375 135 46
si6_b09m_m400.00 4 29 174 357 113 54
si6_b09m_m400.04 4 24 230 343 115 53
si6_b09m_m400.06 4 44 229 359 105 53
si6_b09m_m400.08 4 27 173 433 130 39
si6_b09m_m400.02 4 27 207 360 119 51
si6_b09m_m400.05 4 42 210 357 110 43
si6_b09m_m400.09 4 25 220 334 119 26
si6_b09m_m400.01 4 27 206 347 128 54
si2_b09_m200.08 3 5 9 42 8 6
si2_b09_m200.01 3 9 10 39 5 8
si2_b09_m200.06 3 5 13 40 10 13
si2_b09_m200.05 3 5 12 42 7 8
si2_b09_m200.00 3 5 10 63 10 8
si2_b09_m200.02 3 5 10 60 10 8
si2_b09_m200.03 3 9 10 60 8 18
si2_b09_m200.04 3 5 13 54 5 9
si2_b09_m200.09 3 10 15 43 6 8
si2_b09_m200.07 3 5 13 41 6 9
si6_r01_m600.02 7 4716 5460 8357 4805 362
si6_r01_m600.06 7 2920 3152 8385 2523 430
si6_r01_m600.09 7 9396 11430 8484 10894 436
si6_r01_m600.08 7 125224 36190 8299 35616 421
si6_r01_m600.05 7 2772 3324 8450 2776 442
si6_r01_m600.07 7 8418 20591 8426 19893 399
si6_r01_m600.03 7 4150 4868 8969 3951 458
si6_r01_m600.00 7 3442 4494 8338 3871 496
si6_r01_m600.01 7 2996 3083 8259 2515 417
si6_r01_m600.04 7 18723 16281 8361 15762 470
si2_b06_m200.02 3 3 6 30 7 13
si2_b06_m200.00 3 3 7 43 6 12
si2_b06_m200.01 3 4 7 53 7 12
si2_b06_m200.06 3 3 9 28 6 13
si2_b06_m200.09 3 3 7 29 8 4
si2_b06_m200.07 3 6 7 46 7 4
si2_b06_m200.04 3 3 7 45 4 6
si2_b06_m200.08 3 3 10 51 7 5
si2_b06_m200.03 3 3 9 28 7 12
si2_b06_m200.05 3 3 7 46 7 5
si6_m4Dr2_m1296.05 6 247 3224 4642 2978 168
si6_m4Dr2_m1296.09 6 270 3237 4249 2749 125
si6_m4Dr2_m1296.01 6 269 3240 4524 2778 104
si6_m4Dr2_m1296.06 6 262 3080 3947 2621 145
si6_m4Dr2_m1296.07 6 269 3274 4072 2652 104
si6_m4Dr2_m1296.03 6 277 3218 4415 2656 130
si6_m4Dr2_m1296.04 6 309 3217 4511 2595 154
si6_m4Dr2_m1296.00 6 263 3250 4238 2806 89
si6_m4Dr2_m1296.08 6 239 3147 4304 2610 90
si6_m4Dr2_m1296.02 6 235 3213 4481 2650 101
