instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
A.16 0.0184631 0.00574456 467.175 0.0244923 6.58215 3.49122 3.66981 3.73531 3.6819 3.57467 18.497 4.61553 4.42388 4.47367 4.61052 4.64216 17.6936 4.34563 3.99758 3.88307 3.99543 4.10973 10.2989 3.84364 3.98185 3.8992 3.74078 3.88767
B.14 0.102464 0.0274033 1000.01 0.0358644 287.558 10.4499 10.4287 10.4967 10.328 10.64 287.448 11.9038 12.0544 11.7387 11.8856 11.6839 406.061 10.7506 10.5085 10.5297 10.4027 10.4184 201.421 9.84647 9.86288 9.75899 9.77561 9.90934
A.02 0.0172918 0.00574651 0.43093 0.0301544 5.33744 3.6435 3.68254 3.56879 3.63216 4.09585 5.91677 4.2871 4.42579 4.31018 4.19411 4.32439 8.30213 4.10823 4.22894 3.84995 3.78256 3.99017 6.0666 3.70413 3.84021 3.61131 3.67201 3.82737
F.14 0.294941 0.0328517 1000.01 0.059573 NaN 17.2561 17.8374 17.3444 17.3555 17.4665 NaN 17.4509 17.6744 17.4993 17.3448 17.3977 NaN 16.8434 17.0402 16.893 16.8462 16.8505 NaN 16.4262 16.5253 16.7215 16.9282 17.0004
F.05 0.28002 0.128773 1000.01 34.182 NaN 17.3847 17.6154 18.0466 17.5727 17.3151 NaN 18.3445 18.3955 18.6449 18.0472 18.0695 NaN 17.1269 17.191 17.1076 17.0273 17.1164 NaN 16.7831 16.9558 17.0811 16.8661 16.9037
B.09 0.108847 0.0363468 1000.01 0.0296498 236.881 10.5543 10.4775 10.056 10.2709 10.2152 243.756 11.9624 11.6912 11.622 11.839 12.0366 391.626 10.8903 10.6018 10.6233 10.8068 10.4817 186.497 9.97554 10.0513 9.95505 9.77285 9.90263
A.01 0.0252378 0.0054741 1.44408 0.0244869 10.8918 3.64492 3.93651 3.87994 3.69628 4.04713 15.721 4.28166 4.38598 4.37647 4.30541 4.3605 15.1552 4.40194 4.14053 4.08492 4.01382 4.1216 9.64676 4.04601 4.09306 3.9107 4.15365 3.93276
C.05 0.267213 0.0720894 1000.01 0.0452344 472.254 22.268 22.8539 23.1216 22.7747 23.8321 480.851 25.665 25.4283 25.7276 25.3812 25.5696 NaN 22.5906 23.2289 23.7642 23.1929 23.1477 NaN 22.2186 22.5141 22.7823 22.3529 22.0026
B.01 0.0983901 0.0358825 1000.01 0.0322844 29.2973 10.5591 10.5245 10.5964 10.5324 10.7693 30.6442 12.0511 12.0735 12.3514 11.8463 12.1584 512.483 10.949 10.7987 10.766 10.87 10.7091 246.363 10.329 10.3684 10.3114 10.2866 10.0775
A.09 0.0239285 0.00531942 56.1976 0.0277811 9.6884 3.47898 3.7451 3.55064 3.56298 3.46172 17.4676 4.27327 4.18185 4.36251 4.00159 4.13151 16.2621 3.64633 3.70522 3.5973 3.6222 3.73773 9.24378 3.48018 3.61888 3.54584 3.64001 3.58789
